"","File","Lambda","Maximum Intensity"
"1","20070725_01forirr.txt","699.91","0.38129"
"2","20070725_01forrad.txt","698.61","0.005057"
"3","20070725_01leftirr.txt","635.89","1.3084"
"4","20070725_01leftrad.txt","699.91","0.0091539"
"5","20070725_01rightirr.txt","698.61","0.18119"
"6","20070725_01rightrad.txt","699.91","0.0066388"
"7","20070725_01updamrad.txt","699.91","0.040668"
"8","20070725_01upirr.txt","635.89","7.3128"
"9","20070725_01uprad.txt","553.62","0.18487"
"10","20070725_02fordamrad.txt","699.91","0.029062"
"11","20070725_02forirr.txt","698.98","0.52001"
"12","20070725_02forrad.txt","668.78","0.17322"
"13","20070725_02leftirr.txt","699.91","0.83085"
"14","20070725_02leftrad.txt","699.91","0.050072"
"15","20070725_02rightirr.txt","698.61","0.91104"
"16","20070725_02rightrad.txt","699.91","0.022028"
"17","20070725_02updamrad.txt","699.91","0.11448"
"18","20070725_02upirr.txt","635.89","9.5139"
"19","20070725_02uprad.txt","699.91","0.12666"
"20","20070725_03fordamrad.txt","699.91","0.10391"
"21","20070725_03forirr.txt","699.91","0.38386"
"22","20070725_03leftirr.txt","698.61","0.5295"
"23","20070725_03leftrad.txt","698.61","0.042714"
"24","20070725_03rightirr.txt","698.61","0.42639"
"25","20070725_03rightrad.txt","678.34","0.15098"
"26","20070725_03updamrad.txt","699.91","0.039923"
"27","20070725_03upirr.txt","635.89","8.8359"
"28","20070725_03uprad.txt","699.91","0.18875"
"29","20070725_04fordamrad.txt","698.61","0.032009"
"30","20070725_04forirr.txt","698.61","0.33973"
"31","20070725_04forrad.txt","698.61","0.003634"
"32","20070725_04leftirr.txt","699.91","0.66098"
"33","20070725_04leftrad.txt","699.91","0.017393"
"34","20070725_04rightirr.txt","698.61","0.28872"
"35","20070725_04rightrad.txt","698.61","0.0070216"
"36","20070725_04updamrad.txt","699.91","0.049715"
"37","20070725_04upirr.txt","635.89","9.138"
"38","20070725_04uprad.txt","699.91","0.074276"
